"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Ref.";
1;"REF**,REF**,REF**,REF**";"1pin";4;"1pin";;;
2;"D2";"DO-214AC.SMA";1;"B240A";;;
3;",,,,";"SWDIP8_.6W";5;"POLOLU_A4988";;;
4;"C1,C2,C3,C4,C5,C6";"C_0805_HandSoldering";6;"10nF";;;
5;"C7,C8,C9,C13,C14";"CP-PANASONIC-SMT_D8";5;"100uF";;;
6;"C10";"C_1206_HandSoldering";1;"10uF";;;
7;"C11";"C_0805_HandSoldering";1;"22nF";;;
8;"C12,C26";"C_0805_HandSoldering";2;"4.7uF";;;
9;"C15";"R_0805_HandSoldering";1;"100nF";;;
10;"C16,C32,C33,C34,C35,C36,C37,C38,C39";"C_0805_HandSoldering";9;"10uF";;;
11;"C17,C18";"R_0805_HandSoldering";2;"30pF";;;
12;"C19,C20,C21,C22,C23,C24,C25";"C_0805_HandSoldering";7;"100nF";;;
13;"C27,C28";"C_0805_HandSoldering";2;"2u2";;;
14;"D1,D3";"DO-214AC.SMA";2;"1N400x";;;
15;"D4,D5,D10,D11,D12";"LED_0805";5;"LED";;;
16;"D13,D14,D15";"DO-214AC.SMA";3;"D_1N400x-SMD";;;
17;"F1,F2";"MINI-FUSE";2;"F_Small";;;
18;"IC1";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"AT24C256";;;
19;"L1";"C_0805_HandSoldering";1;"BEAD";;;
20;"L2";"CD32";1;"4.7uH";;;
21;"L3";"CD32";1;"2.2uH";;;
22;"P1,P3,P29,P30,P31";"screw-5-2P";5;"CONN_01X02";;;
23;"P2";"bb02-hy03a";1;"CONN_01X03";;;
24;"P4,P5,P6,P7,P8,P9";"Pin_Header_Straight_1x03";6;"CONN_01X03";;;
25;"P10";"Pin_Header_Straight_2x04";1;"CONN_02X04";;;
26;"P11,P12,P13,P14,P21";"Pin_Header_Straight_1x04";5;"CONN_01X04";;;
27;"P16,P17";"IDC_Header_Straight_10pins";2;"CONN_02X05";;;
28;"P18";"Pin_Header_Straight_2x05";1;"CONN_02X05";;;
29;"P20";"Pin_Header_Straight_1x02";1;"CONN_01X02";;;
30;"P22,P23,P35,P36,P37,P38,P39";"bb02-hp06";7;"CONN_02X03";;;
31;"P25,P26";"Pin_Header_Straight_2x03";2;"CONN_02X03";;;
32;"P27";"Pin_Header_Straight_2x06";1;"CONN_02X06";;;
33;"P28,P32";"pt_1,5-4-3,5-h";2;"CONN_02X02";;;
34;"P33,P34";"Pin_Header_Straight_1x04";2;"CONN_02X02";;;
35;"Q1,Q2,Q3,Q4";"SOT-23";4;"TBD";;;
36;"Q7,Q8,Q9";"SOT-23";3;"Q_BSH105/IRLML2502";;;
37;"Q10,Q11,Q12";"TO-220_Neutral123_Vertical_LargePads";3;"Q_AOT240L";;;
38;"R1,R2,R3,R4,R5";"R_0805_HandSoldering";5;"100K";;;
39;"R6";"R_0805_HandSoldering";1;"28.7k";;;
40;"R7";"R_0805_HandSoldering";1;"150K";;;
41;"R8";"R_0805_HandSoldering";1;"10K";;;
42;"R9";"R_0805_HandSoldering";1;"1M";;;
43;"R10,R11,R29,R30,R31,R32,R33,R34";"R_0805_HandSoldering";8;"4K7";;;
44;"R12,R13";"R_0805_HandSoldering";2;"22R";;;
45;"R14,R16,R18,R20,R41,R42,R43";"R_0603_HandSoldering";7;"22R";;;
46;"R15,R17,R19,R21,R35,R36,R37,R38,R39,R40";"R_0603_HandSoldering";10;"100K";;;
47;"R22,R23,R44,R45,R46";"R_0603_HandSoldering";5;"470R";;;
48;"S1";"SMD-BUTTON-6MM";1;"SW_DIP_x2";;;
49;"U3";"SOT-23-6";1;"ACT4088";;;
50;"U4";"SOT-23-5";1;"SC4626";;;
51;"U9";"LQFP100-14x14";1;"STM32F1/STM32F4";;;
52;"U10";"SOT32-6L";1;"USBLC6-2";;;
53;"X1";"2P-5032";1;"Crystal_Small";;;
54;"P19,P24";"bb02-hy04a";2;"CONN_01X04";;;
55;"F3";"FUSE-1812";1;"F_Small";;;
56;"F4";"R_0805_HandSoldering";1;"F_Small";;;
57;"P15";"USB_Mini-B";1;"USB_OTG";;;
58;"JP2,JP3";"S_JUMPER_3";2;"JUMPER3";;;
59;"G***";"Logo_silk_OSHW_6x6mm";1;"LOGO";;;
60;"G***";"STM32-6mm";1;"LOGO";;;
